Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,1185,525,0,0,0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
1,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
2,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
3,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
4,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
5,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
6,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
7,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
8,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
9,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
10,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
11,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
12,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
13,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
14,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
15,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
16,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
17,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
18,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
19,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
20,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
21,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
22,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
23,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
24,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
25,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
26,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
27,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
28,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
29,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
30,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
31,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
32,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
33,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
34,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
35,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
36,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
37,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
38,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
39,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
40,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
41,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
42,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
43,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
44,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
45,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
46,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
47,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
48,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
49,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
50,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
51,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
52,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
53,1184,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
54,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
55,1185,525,0,0,0.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
56,1184,525,-1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
57,1185,525,1,0,1.0,19.165306536601662,30,3.2712535858154297,30,0.6388435512200554
