Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,493,277,0,0,0,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
1,487,285,-6,8,10.0,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
2,490,322,3,37,37.12142238654117,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
3,486,179,-4,-143,143.05593311708537,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
4,491,347,5,168,168.07438829280326,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
5,486,208,-5,-139,139.0898989862312,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
6,492,343,6,135,135.1332675546625,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
7,487,246,-5,-97,97.12878049270464,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
8,491,275,4,29,29.274562336608895,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
9,486,286,-5,11,12.083045973594572,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
10,489,200,3,-86,86.05230967266364,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
11,488,323,-1,123,123.00406497347964,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
12,486,184,-2,-139,139.01438774457844,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
13,491,344,5,160,160.0781059358212,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
14,484,210,-7,-134,134.18271125595876,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
15,493,334,9,124,124.32618388738553,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
16,486,244,-7,-90,90.27181176868004,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
17,492,261,6,17,18.027756377319946,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
18,488,285,-4,24,24.331050121192877,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
19,489,189,1,-96,96.00520819205592,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
20,489,325,0,136,136.0,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
21,487,180,-2,-145,145.01379244747721,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
22,490,349,3,169,169.0266251216062,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
23,486,211,-4,-138,138.05795884337854,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
24,492,339,6,128,128.14054783713078,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
25,486,248,-6,-91,91.19758768739445,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
26,490,267,4,19,19.4164878389476,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
27,486,286,-4,19,19.4164878389476,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
28,488,196,2,-90,90.0222194794152,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
29,489,323,1,127,127.00393694685216,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
30,485,183,-4,-140,140.05713120009278,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
31,491,345,6,162,162.11107303327555,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
32,485,209,-6,-136,136.13228860193308,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
33,493,337,8,128,128.2497563350512,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
34,487,245,-6,-92,92.19544457292888,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
35,493,266,6,21,21.840329667841555,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
36,488,287,-5,21,21.587033144922902,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
37,489,192,1,-95,95.00526301210897,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
38,488,327,-1,135,135.00370365289984,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
39,487,184,-1,-143,143.0034964607509,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
40,491,348,4,164,164.04877323527901,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
41,485,213,-6,-135,135.1332675546625,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
42,492,333,7,120,120.20399327809372,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
43,485,248,-7,-85,85.28774824088158,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
44,490,258,5,10,11.180339887498949,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
45,487,286,-3,28,28.160255680657446,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
46,487,190,0,-96,96.0,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
47,490,324,3,134,134.03357788255897,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
48,486,181,-4,-143,143.05593311708537,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
49,491,347,5,166,166.0752841334315,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
50,486,210,-5,-137,137.09121051329294,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
51,492,340,6,130,130.13838787997952,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
52,487,248,-5,-92,92.13576938409967,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
53,493,270,6,22,22.80350850198276,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
54,487,290,-6,20,20.8806130178211,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
55,489,197,2,-93,93.02150289046077,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
56,488,327,-1,130,130.00384609695206,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
57,486,186,-2,-141,141.01418368376991,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
58,490,346,4,160,160.04999218994044,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
59,484,214,-6,-132,132.13629327327143,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
60,492,329,8,115,115.27792503337315,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
61,486,248,-6,-81,81.2219182240853,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
62,491,253,5,5,7.0710678118654755,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
63,488,287,-3,34,34.132096331752024,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
64,488,187,0,-100,100.0,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
65,490,326,2,139,139.01438774457844,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
66,487,181,-3,-145,145.03103116229988,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
67,491,350,4,169,169.04733065032408,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
68,486,213,-5,-137,137.09121051329294,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
69,492,338,6,125,125.14391715141412,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
70,486,251,-6,-87,87.20665112249179,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
71,491,265,5,14,14.866068747318506,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
72,486,290,-5,25,25.495097567963924,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
73,489,195,3,-95,95.04735661763561,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
74,489,326,0,131,131.0,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
75,485,185,-4,-141,141.05672617780408,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
76,491,345,6,160,160.11246047700348,108.1161238252684,30,8.682782649993896,30,3.6038707941756134
