Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,1211,540,0,0,0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
1,1208,540,-3,0,3.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
2,1204,541,-4,1,4.123105625617661,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
3,1199,541,-5,0,5.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
4,1194,541,-5,0,5.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
5,1188,541,-6,0,6.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
6,1182,542,-6,1,6.082762530298219,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
7,1175,542,-7,0,7.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
8,1169,542,-6,0,6.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
9,1163,542,-6,0,6.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
10,1159,542,-4,0,4.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
11,1157,542,-2,0,2.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
12,1155,542,-2,0,2.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
13,1155,542,0,0,0.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
14,1156,542,1,0,1.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
15,1158,542,2,0,2.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
16,1161,542,3,0,3.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
17,1164,542,3,0,3.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
18,1169,541,5,-1,5.0990195135927845,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
19,1174,541,5,0,5.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
20,1180,541,6,0,6.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
21,1186,540,6,-1,6.082762530298219,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
22,1192,540,6,0,6.0,19.26751535658322,30,44.021294355392456,30,0.6422505118861074
