Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,1184,516,0,0,0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
1,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
2,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
3,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
4,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
5,1184,517,0,1,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
6,1184,516,0,-1,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
7,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
8,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
9,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
10,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
11,1183,516,-1,0,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
12,1184,516,1,0,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
13,1183,516,-1,0,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
14,1184,517,1,1,1.4142135623730951,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
15,1184,516,0,-1,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
16,1184,516,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
17,1184,517,0,1,1.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
18,1184,517,0,0,0.0,19.177768793677462,30,3.9215145111083984,30,0.6392589597892487
