t_s,i,adc
0.0007015999999997469,0,792
0.0008116000000000234,1,710
0.0009193999999999036,2,645
0.0010315999999996883,3,593
0.0011395999999996853,4,550
0.0012470999999996124,5,517
0.001353399999999727,6,490
0.0014596999999998417,7,469
0.0015654999999998864,8,453
0.0016716999999997206,9,439
0.0017891999999997132,10,428
0.0019071999999997757,11,421
0.002177699999999838,12,413
0.0031714999999996607,13,406
0.004163399999999928,14,404
0.005150099999999824,15,398
0.0061670000000000336,16,397
0.007153799999999766,17,394
0.008126399999999645,18,391
0.009138499999999716,19,390
0.010141999999999651,20,390
0.011135599999999801,21,388
0.012187500000000018,22,390
0.013115899999999847,23,389
0.014129399999999848,24,388
0.015110500000000027,25,387
0.01611539999999989,26,386
0.017112099999999852,27,386
0.018099899999999725,28,386
0.019097599999999826,29,386
0.02007929999999991,30,384
0.021077699999999755,31,385
0.02207429999999988,32,384
0.02220679999999975,33,386
0.023183399999999743,34,385
0.02416029999999969,35,384
0.025261899999999837,36,386
0.02620549999999966,37,384
0.027199799999999996,38,385
0.028194999999999748,39,386
0.029184399999999666,40,384
0.03018239999999972,41,386
0.031170799999999943,42,384
0.03220009999999984,43,385
0.03316489999999961,44,386
0.03415549999999978,45,384
0.0351505999999997,46,384
0.036149899999999846,47,385
0.03713719999999965,48,386
0.03822759999999992,49,387
0.039165899999999976,50,386
0.04010839999999982,51,386
0.04112720000000003,52,385
0.04212039999999995,53,384
0.043112899999999676,54,386
0.044130199999999675,55,386
0.04511019999999988,56,385
0.046106499999999606,57,385
0.047087199999999996,58,384
0.04811539999999992,59,384
0.049104499999999884,60,386
0.0500780999999999,61,387
0.051069699999999774,62,385
0.05120239999999976,63,386
0.052230499999999846,64,386
0.05320069999999966,65,386
0.05419419999999997,66,386
0.055183699999999725,67,386
0.05615919999999974,68,385
0.057199199999999895,69,385
0.058182500000000026,70,386
0.05917389999999978,71,388
0.06017579999999967,72,386
0.061164999999999914,73,385
0.062167199999999756,74,385
0.06325899999999995,75,385
0.0641727999999997,76,386
0.0652332999999996,77,386
0.06615789999999988,78,385
0.06713959999999997,79,386
0.06813979999999997,80,388
0.0691278999999998,81,386
0.07014109999999985,82,385
0.07112249999999998,83,385
0.07209390000000004,84,386
0.07312699999999994,85,385
0.0741117,86,386
0.07511029999999996,87,385
0.0761023999999999,88,384
0.07709969999999977,89,384
0.07814359999999976,90,384
0.07909379999999988,91,384
0.08008909999999991,92,387
0.08108380000000004,93,384
0.0812172999999996,94,386
0.08219500000000002,95,387
0.08318409999999998,96,387
0.08418609999999971,97,384
0.08518179999999997,98,384
0.08619929999999965,99,386
0.0872039,100,385
0.08818210000000004,101,384
0.08919379999999988,102,384
0.09108519999999976,103,385
0.09213829999999978,104,386
0.09309499999999993,105,386
0.09410889999999972,106,384
0.09510149999999973,107,387
0.09613119999999986,108,385
0.09713890000000003,109,386
0.09813509999999992,110,388
0.09914659999999964,111,386
0.10015829999999992,112,386
0.10115759999999963,113,388
0.10216629999999993,114,386
0.10317189999999998,115,385
0.10415149999999995,116,388
0.10524239999999985,117,385
0.10622089999999984,118,388
0.10720789999999969,119,387
0.10820790000000002,120,385
0.11008079999999998,121,387
0.11109089999999977,122,385
0.11209089999999966,123,386
0.11309989999999992,124,383
0.11411629999999962,125,386
0.11512159999999971,126,384
0.11612659999999986,127,385
0.11712319999999998,128,386
0.11815409999999993,129,387
0.11920659999999961,130,386
0.12013069999999981,131,385
0.12115969999999976,132,386
0.12218829999999992,133,386
0.12317999999999962,134,385
0.12418649999999998,135,384
0.1252146999999999,136,385
0.12621289999999963,137,386
0.12719869999999966,138,386
0.12908229999999987,139,386
0.1301123999999998,140,385
0.13109919999999997,141,385
0.13215569999999977,142,385
0.13311699999999993,143,386
0.1341211999999996,144,385
0.1351274,145,386
0.1361055999999996,146,385
0.13713569999999997,147,385
0.13819219999999977,148,386
0.13916019999999962,149,385
0.14017109999999988,150,385
0.14120929999999987,151,386
0.1421865999999996,152,385
0.1431855999999998,153,385
0.14418469999999983,154,386
0.14528149999999984,155,386
0.14622889999999966,156,387
0.1480731999999998,157,384
0.14908719999999986,158,385
0.15010319999999977,159,388
0.15111129999999973,160,385
0.15209019999999995,161,386
0.15311229999999965,162,385
0.15414079999999997,163,387
0.15513279999999963,164,385
0.1561382,165,387
0.15715429999999975,166,386
0.1581568,167,386
0.15921260000000004,168,386
0.16020129999999977,169,386
0.16118940000000004,170,386
0.1621999999999999,171,386
0.1631917999999999,172,386
0.1642051999999996,173,387
0.16520179999999973,174,387
0.16706939999999992,175,385
0.16805009999999987,176,387
0.16908919999999972,177,387
0.17010709999999962,178,386
0.1711008999999999,179,384
0.17219790000000001,180,386
0.17324070000000003,181,386
0.1741324999999998,182,385
0.17611769999999982,183,385
0.17625329999999995,184,386
0.17715579999999997,185,386
0.17816549999999998,186,385
0.1791798,187,386
0.1801758999999996,188,387
0.1811832,189,385
0.18219999999999992,190,385
0.18320769999999964,191,385
0.18418399999999968,192,386
0.1860980999999997,193,385
0.1870885999999996,194,386
0.18810829999999967,195,385
0.18911860000000003,196,386
0.19011789999999973,197,386
0.1911217999999999,198,386
0.19212759999999962,199,385
0.19312309999999977,200,385
0.19415159999999965,201,388
0.19515649999999996,202,386
0.19615009999999966,203,386
0.19715839999999973,204,386
0.19817609999999997,205,385
0.19923460000000004,206,386
0.20016829999999963,207,385
0.2011829999999999,208,387
0.20221319999999965,209,385
0.2032029999999998,210,386
0.2050698999999998,211,385
0.20608549999999992,212,386
0.20709699999999964,213,386
0.20810320000000004,214,386
0.20909999999999984,215,386
0.21012940000000002,216,385
0.2111331999999999,217,385
0.21217379999999997,218,386
0.21314639999999985,219,386
0.2141523999999997,220,386
0.2151468999999997,221,385
0.21613489999999969,222,385
0.2171797999999998,223,386
0.2181835999999997,224,386
0.21919349999999982,225,384
0.22018879999999985,226,384
0.2211957,227,384
0.22221279999999988,228,386
0.22407169999999965,229,385
