t_s,i,adc
2.1816921999999987,2000,388
2.183557199999999,2001,387
2.184581399999999,2002,387
2.1855931999999996,2003,386
2.1866138,2004,386
2.187655399999999,2005,386
2.1886596999999988,2006,386
2.1896778,2007,388
2.1915639000000002,2008,387
2.192625699999999,2009,387
2.193636099999999,2010,388
2.1946323999999997,2011,386
2.195655499999999,2012,388
2.196659199999999,2013,388
2.1976759,2014,389
2.1995641,2015,389
2.2005903,2016,388
2.2016139,2017,389
2.202623899999999,2018,388
2.2036467,2019,388
2.2046475999999995,2020,388
2.205691,2021,387
2.2075626999999987,2022,387
2.2085957999999994,2023,388
2.2096123999999993,2024,387
2.2106177999999996,2025,386
2.211647899999999,2026,386
2.2126748000000003,2027,386
2.2136848999999987,2028,389
2.215554299999999,2029,389
2.2165806000000003,2030,388
2.2176054,2031,389
2.2186144,2032,388
2.219831299999999,2033,386
2.220688299999999,2034,387
2.2217053,2035,389
2.223560299999999,2036,387
2.2245884999999994,2037,387
2.2256235999999987,2038,388
2.2266163999999993,2039,386
2.2276127,2040,388
2.2286751000000002,2041,387
2.2296841999999994,2042,387
2.231634399999999,2043,386
2.2326017999999994,2044,385
2.2336352999999995,2045,387
2.2346266999999997,2046,389
2.235646899999999,2047,389
2.2366607,2048,389
2.2376904,2049,389
2.239574899999999,2050,388
2.2405822000000004,2051,387
2.2416048999999987,2052,386
2.2426163,2053,388
2.243646199999999,2054,385
2.2446693,2055,387
2.2456756,2056,388
2.2475936999999995,2057,388
2.2485938,2058,387
2.2496142,2059,388
2.2506334,2060,387
2.2516450999999993,2061,387
2.2526636,2062,386
2.2536766000000004,2063,386
2.2555882999999994,2064,387
2.256590299999999,2065,386
2.257615099999999,2066,387
2.2586358000000004,2067,388
2.2597372,2068,388
2.2606824000000003,2069,388
2.2616987999999996,2070,386
2.2635749,2071,386
2.2645812999999997,2072,388
2.2656048999999996,2073,388
2.2666266000000004,2074,387
2.2676543000000002,2075,388
2.2686697999999996,2076,388
2.2696878,2077,385
2.2715750000000003,2078,386
2.2725992,2079,386
2.2736447,2080,387
2.2746427999999987,2081,387
2.2756469999999993,2082,388
2.2766699999999993,2083,386
2.277685999999999,2084,388
2.2795832999999988,2085,388
2.2805909999999994,2086,388
2.2816133,2087,386
2.2826348999999997,2088,388
2.283654199999999,2089,388
2.284669299999999,2090,387
2.285686199999999,2091,386
2.287592199999999,2092,387
2.2885945999999997,2093,388
2.2896140000000003,2094,388
2.2906367999999997,2095,388
2.2916475999999992,2096,387
2.292672699999999,2097,385
2.293697,2098,386
2.295574199999999,2099,388
2.296590499999999,2100,386
2.297619899999999,2101,386
2.2986351999999997,2102,386
2.2997265999999996,2103,387
2.3006756999999993,2104,389
2.3016886000000003,2105,388
2.3035724,2106,388
2.3045910000000003,2107,385
2.3056202,2108,386
2.3066359999999992,2109,386
2.3076587999999987,2110,386
2.3086743,2111,386
2.309695999999999,2112,387
2.3115723999999993,2113,388
2.3125906,2114,388
2.3136615999999997,2115,386
2.3146281999999996,2116,386
2.3156675999999994,2117,388
2.3166738999999996,2118,388
2.3176983,2119,385
2.3195759000000002,2120,388
2.320591799999999,2121,388
2.3216199999999994,2122,389
2.322636899999999,2123,388
2.323658199999999,2124,386
2.324669799999999,2125,388
2.325687499999999,2126,388
2.3275959000000004,2127,388
2.329604099999999,2128,388
2.3297549999999987,2129,388
2.3306421000000004,2130,388
2.331669399999999,2131,388
2.3326753999999994,2132,389
2.334565399999999,2133,389
2.335583099999999,2134,389
2.3366019,2135,388
2.337614499999999,2136,386
2.3386362999999992,2137,388
2.3397537999999987,2138,388
2.3406930999999993,2139,388
2.3425563999999994,2140,386
2.343574199999999,2141,387
2.3445894000000003,2142,387
2.3456305000000004,2143,389
2.346634699999999,2144,388
2.347658599999999,2145,388
2.3486645999999993,2146,387
2.350550499999999,2147,386
2.3515730999999995,2148,387
2.3525931,2149,388
2.3536804,2150,386
2.354645699999999,2151,388
2.3556618999999994,2152,386
2.3566877,2153,388
2.3585469999999997,2154,387
2.3595825,2155,388
2.3605988,2156,388
2.361616099999999,2157,387
2.3626255,2158,388
2.3636672,2159,389
2.3647365999999987,2160,390
2.3665787,2161,388
2.367588699999999,2162,388
2.368601,2163,388
2.3696165999999987,2164,388
2.3706283,2165,387
2.3716289999999987,2166,388
2.372688,2167,388
2.3745557999999996,2168,388
2.3755682,2169,389
2.376590199999999,2170,388
2.3776326999999995,2171,390
2.3786348000000004,2172,388
2.3797192000000003,2173,390
2.380783899999999,2174,389
2.382547299999999,2175,388
2.383585,2176,387
2.384601,2177,388
2.3856168999999987,2178,388
2.3866289,2179,388
2.3876270999999996,2180,388
2.3887108,2181,388
2.3905557999999996,2182,388
2.3915840999999993,2183,387
2.3925944999999995,2184,389
2.393668,2185,390
2.3946386000000004,2186,388
2.3956698999999997,2187,389
2.396802899999999,2188,390
2.398562499999999,2189,388
2.3995894,2190,388
2.4006112,2191,388
2.4016284,2192,387
2.4026519000000004,2193,388
2.4036615999999995,2194,389
2.404688499999999,2195,389
2.4065727,2196,387
2.4076272999999997,2197,389
2.4086003,2198,388
2.409621399999999,2199,390
2.4106427999999998,2200,387
2.4116578000000004,2201,388
2.4127406999999987,2202,388
2.414549599999999,2203,388
2.415584599999999,2204,389
2.4165934999999994,2205,388
2.417614199999999,2206,388
2.4186549999999993,2207,389
2.4196577,2208,388
2.4207248000000003,2209,389
2.4225657,2210,389
2.4235875999999994,2211,388
2.4245927,2212,389
2.4256133999999996,2213,389
2.426690299999999,2214,388
2.4276593999999996,2215,389
2.4286788,2216,388
2.4305489,2217,388
2.431585,2218,387
2.4325940999999993,2219,388
2.4337032,2220,388
2.4346593999999993,2221,389
2.435658799999999,2222,388
2.4366883,2223,387
2.4385581999999992,2224,387
2.4395881,2225,388
2.4406055999999996,2226,388
2.4416154999999993,2227,389
2.442656399999999,2228,389
2.4436584999999997,2229,389
2.4447713999999987,2230,388
2.4465562999999992,2231,388
2.4476116,2232,388
2.4486194,2233,386
2.449623599999999,2234,388
2.4506496,2235,388
2.4516703999999994,2236,387
2.4526869,2237,387
2.4545581,2238,387
2.4555879999999988,2239,389
2.456605099999999,2240,386
2.4576142999999995,2241,387
2.4586556999999996,2242,387
2.4596716,2243,387
2.4607563,2244,386
2.4625557999999987,2245,388
2.4635876999999997,2246,388
2.4646065999999998,2247,389
2.465617,2248,386
2.4666400999999993,2249,387
2.4676714000000004,2250,388
2.4686874999999997,2251,387
2.4705560999999996,2252,388
2.4715863999999996,2253,389
2.4726052000000003,2254,386
2.473799699999999,2255,386
2.4746571999999993,2256,388
2.4756818999999997,2257,387
2.4768358,2258,388
2.478588499999999,2259,388
2.4795985,2260,385
2.480612299999999,2261,388
2.4816161,2262,387
2.4826420999999996,2263,387
2.483641499999999,2264,389
2.4846754000000004,2265,387
2.4865788,2266,386
2.487634699999999,2267,388
2.4886079,2268,388
2.4896294,2269,388
2.4906387,2270,388
2.491679099999999,2271,387
2.4928093999999987,2272,386
2.4945813999999995,2273,386
2.4955914999999997,2274,388
2.496611399999999,2275,387
2.4976284999999994,2276,387
2.498638099999999,2277,388
2.4996352,2278,388
2.500786999999999,2279,389
2.5025791999999996,2280,389
2.5035898999999997,2281,389
2.5046118999999987,2282,389
2.505628699999999,2283,388
2.506639399999999,2284,388
2.5076789,2285,385
2.5088445000000004,2286,387
2.510569799999999,2287,388
2.5115970999999995,2288,388
2.5126217000000004,2289,388
2.5136778,2290,389
2.5146748,2291,388
2.5156378000000004,2292,389
2.5167050999999994,2293,388
2.518575499999999,2294,388
2.5195808999999993,2295,388
2.5206038,2296,388
2.521643899999999,2297,388
2.5226507,2298,388
2.524671399999999,2299,388
2.5248273999999995,2300,388
2.5265788999999987,2301,388
2.5276587,2302,389
2.5286232999999996,2303,388
2.529638499999999,2304,388
2.530647799999999,2305,388
2.531642399999999,2306,388
2.5326905999999987,2307,388
2.5345660999999993,2308,388
2.5356077,2309,388
2.5366114999999994,2310,387
2.5376279999999998,2311,388
2.538641,2312,386
2.5396634000000002,2313,388
2.5409393,2314,388
2.5425933,2315,387
2.5436113000000002,2316,388
2.5446188999999997,2317,389
2.5456372,2318,386
2.5466599,2319,388
2.5476431999999996,2320,388
2.5486883999999996,2321,386
2.550575199999999,2322,387
2.5515925999999993,2323,386
2.552632599999999,2324,388
